"Customer Name","Product Pillar","Product Line","Product Name","Product Description","Metric","Quantity","Install Status","Contract ARR","Contract Start Date","Contract End Date","Purchase Amount","Purchase Start Date","Order Number","SRs","Registry Id","CSI#","Contract Number","Purchase Level"
"KELAG - Kärntner Elektrizitäts-AG","Strategic Hardware","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","X6-2,1U DATABASE SERVER,ED X6","","1","EXPIRED","0","2020-05-24","2021-05-23","0","2016-05-25","34272350","0","3630102","20635989","10512085",""
"KELAG - Kärntner Elektrizitäts-AG","Strategic Hardware","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","X6-2,1U DATABASE SERVER,ED X6","","1","EXPIRED","0","2020-05-24","2021-05-23","0","2016-05-25","34272350","0","3630102","20635989","10512085",""
"KELAG - Kärntner Elektrizitäts-AG","Strategic Hardware","Exadata Database Machine","Exadata Database Machine Expansion Switch Kit","RACK 42U-1200 W/HEAVY DUTY PAL","","1","EXPIRED","0","2020-05-24","2021-05-23","0","2016-05-25","34272350","0","3630102","20635989","10512085",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Other Servers","Server Spares","SUNDC SWITCH IB-36P MANAGED,LF","","1","EXPIRED","0","2020-05-24","2021-05-23","0","2016-05-25","34272350","0","3630102","20635989","10512085",""
"KELAG - Kärntner Elektrizitäts-AG","On-Premise Technology","Database Core","Linux OS","Oracle Linux Premier Limited support service available for systems with no more than 2 physical CPUs per system","","1","EXPIRED","0","2021-08-18","2022-08-17","0","2020-08-18","38219566","0","3630102","23092705","20480924","FULL USE"
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Shared Virtual Array (SVA)","Sun Shared Virtual Array (SVA) - Terabyte","Terabyte","1","EXPIRED","0","2004-06-01","2012-05-31","0","1980-01-01","","0","3630102","16944045","SUN-K9E0615017",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek 9500 Shared Virtual Array","BASE MODEL","","1","EXPIRED","0","2004-06-01","2012-05-31","0","2001-04-19","","0","3630102","17724404","SUN-K9E0615017",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Shared Virtual Array (SVA) NMP Monitor","Sun Shared Virtual Array (SVA) NMP Monitor - Storage Device","Storage Device","1","EXPIRED","0","2004-06-01","2012-05-31","0","1980-01-01","","0","3630102","16944045","SUN-K9E0615017",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used SVA FICON Chn. Card - LW","LW","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used SVA FICON Chn. Card - LW","LW","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used SVA FICON Chn. Card - LW","LW","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used SVA FICON Chn. Card - LW","LW","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used SVA FICON Chn. Card - LW","LW","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used SVA FICON Chn. Card - LW","LW","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used V2Xf 2x73Array/0 Cache/Ch","","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Classic Hardware","Flash Storage","Sun StorageTek V2X Shared Virtual Array","Used V2Xf 2x73Array/0 Cache/Ch","","1","No Support","0","","","0","2009-11-18","","0","3630102","16969813","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Snapshot","Sun Snapshot for SVA - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","2009-11-18","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Snapshot","Sun Snapshot for SVA - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","1980-01-01","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun High Speed Data Mover (HSDM)","Sun High Speed Data Mover (HSDM) - CPU Perpetual","CPU Perpetual","1","No Support","0","","","0","2009-11-18","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun High Speed Data Mover (HSDM)","Sun High Speed Data Mover (HSDM) - CPU Perpetual","CPU Perpetual","1","No Support","0","","","0","1980-01-01","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Shared Virtual Array (SVA) Administrator","Sun Shared Virtual Array (SVA) Administrator - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","2009-11-04","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Power PPRC Snapshot for Sun StorageTek SVA","Sun Power PPRC Snapshot for Sun StorageTek SVA - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","1980-01-01","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Power PPRC Snapshot for Sun StorageTek SVA","Sun Power PPRC Snapshot for Sun StorageTek SVA - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","2009-11-18","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun PPRC for Sun StorageTek SVA FICON (Fibre Connectivity) Systems","Sun PPRC for Sun StorageTek SVA FICON (Fibre Connectivity) Systems - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","1980-01-01","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun PPRC for Sun StorageTek SVA FICON (Fibre Connectivity) Systems","Sun PPRC for Sun StorageTek SVA FICON (Fibre Connectivity) Systems - Storage Device Perpetual","Storage Device Perpetual","1","No Support","0","","","0","2009-11-18","","0","3630102","17114374","",""
"KELAG - Kärntner Elektrizitäts-AG","Unspecified","Unspecified","Sun Snapshot","Sun Snapshot for SVA - Storage Device Perpetual","Storage Device Perpetual","1","EXPIRED","0","2004-06-01","2012-05-31","0","1980-01-01","","0","3630102","16944045","SUN-K9E0615017",""
