"Customer Name","Product Line","Product Name","Product Description","Quantity","Quantity Type","Purchase Amount (CD)","Purchase Start Date","Order Number","Contract Start Date","Contract End Date","Contract ARR (CD)","SRs","CSI#","Purchase Level","Purchase Type"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","3","N/A","6416","2019-05-30","33673","2021-06-21","2022-06-20","1692","0","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","3","N/A","4278","2019-05-30","33673","2021-06-21","2022-06-20","1128","0","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Forty Gb Transceivers","QSFP parallel fiber optics short wave transceiver","8","N/A","4958","2017-06-01","35015842","2021-07-01","2022-06-30","1110","0","21199111","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Forty Gb Transceivers","QSFP parallel fiber optics short wave transceiver","8","N/A","4958","2017-06-01","35015813","2021-07-01","2022-06-30","1110","0","21207621","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Named User Plus Perpetual","100","N/A","3666","2014-06-05","28995","2021-06-21","2022-06-20","1011","0","19569267","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Forty Gb Optical Cables","Optical cable assembly: 20 meters, MT ferrule terminated, 12-fiber, multimode, MPO connectors","4","N/A","3446","2017-06-01","35015842","2021-07-01","2022-06-30","637","0","21199111","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Forty Gb Optical Cables","Optical cable assembly: 20 meters, MT ferrule terminated, 12-fiber, multimode, MPO connectors","4","N/A","3446","2017-06-01","35015813","2021-07-01","2022-06-30","637","0","21207621","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Ten Gb Transceivers","Dual rate transceiver: SFP+ SR. Support 1 Gb/sec and 10 Gb/sec dual rate","8","N/A","1833","2017-06-01","35015813","2021-07-01","2022-06-30","410","0","21207621","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Ten Gb Transceivers","Dual rate transceiver: SFP+ SR. Support 1 Gb/sec and 10 Gb/sec dual rate","8","N/A","1833","2017-06-01","35015842","2021-07-01","2022-06-30","410","0","21199111","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Forty Gb Copper Cables","QSFP to QSFP passive copper cable: 5 meter","8","N/A","1408","2017-06-01","35015842","2021-07-01","2022-06-30","261","0","21199111","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Networking","Forty Gb Copper Cables","QSFP to QSFP passive copper cable: 5 meter","8","N/A","1408","2017-06-01","35015813","2021-07-01","2022-06-30","260","0","21207621","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine Expansion Switch Kit","SWITCH,ENET,WS-C4948E-F-S,CISCO CATALYST,BACK TO FRONT COOLING","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine X9M-2 Hardware","Exadata Database Machine X9M-2: model family","1","N/A","0","2022-01-21","39304097","2022-01-21","2023-01-20","0","0","24203517","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","X6-2,1U DATABASE SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","X6-2,1U DATABASE SERVER,ED X6","1","N/A","0","2017-05-31","35015813","2021-07-01","2022-06-30","0","0","21207626","",""
