"Customer Name","Product Line","Product Name","Product Description","Quantity","Quantity Type","Purchase Amount (CD)","Purchase Start Date","Order Number","Contract Start Date","Contract End Date","Contract ARR (CD)","SRs","CSI#","Purchase Level","Purchase Type"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Security","Oracle Advanced Security - Processor Perpetual","40","N/A","188631","2018-01-04","32308","2021-06-21","2022-06-20","52645","0","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","84","N/A","181235","2008-12-31","21772","2021-06-21","2022-06-20","49103","0","16147747","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","8","N/A","193490","2020-05-18","34711","2021-05-18","2022-06-20","48953","0","22998637","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Database Lifecycle Management Pack","Oracle Database Lifecycle Management Pack - Processor Perpetual","52","N/A","172822","2017-05-15","31861","2021-06-21","2022-06-20","48620","0","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","8","N/A","168770","2017-05-24","31883","2021-06-21","2022-06-20","47420","0","21220403","LIMITED USE SPECIFIED APP",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","52","N/A","165621","2017-05-15","31861","2021-06-21","2022-06-20","46594","0","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","52","N/A","165621","2017-05-15","31861","2021-06-21","2022-06-20","46594","0","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine X9M-2 Quarter Rack","Exadata Database Machine X9M-2 High Capacity (HC) Quarter Rack with 1 TB memory and 2 dual 25 G network cards (for factory installation)","1","N/A","300603","2022-01-21","39304097","2022-01-21","2023-01-20","45090","0","24203517","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine X9M-2 Quarter Rack","Exadata Database Machine X9M-2 High Capacity (HC) Quarter Rack with 1 TB memory and 2 dual 25 G network cards (for factory installation)","1","N/A","300603","2022-01-21","39237479","2022-01-21","2023-01-20","45090","0","24212890","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Database Lifecycle Management Pack","Oracle Database Lifecycle Management Pack - Processor Perpetual","40","N/A","150905","2018-01-04","32308","2021-06-21","2022-06-20","42116","0","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","44","N/A","189533","2021-05-26","35727","2021-05-26","2022-05-25","41697","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","44","N/A","189533","2021-05-26","35727","2021-05-26","2022-05-25","41697","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","40","N/A","144617","2018-01-04","32308","2021-06-21","2022-06-20","40361","0","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","40","N/A","144617","2018-01-04","32308","2021-06-21","2022-06-20","40361","0","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","54","N/A","161618","2020-10-21","35096","2021-10-21","2022-10-20","37334","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Cloud Management Pack for Oracle Database","Oracle Cloud Management Pack for Oracle Database - Processor Perpetual","54","N/A","161618","2020-10-21","35096","2021-10-21","2022-10-20","37334","2","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Cloud Management Pack for Oracle Database","Oracle Cloud Management Pack for Oracle Database - Processor Perpetual","56","N/A","139256","2020-06-02","34763","2021-06-02","2022-06-20","35232","2","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","56","N/A","139256","2020-06-02","34763","2021-06-02","2022-06-20","35232","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Database Lifecycle Management Pack","Oracle Database Lifecycle Management Pack - Processor Perpetual","39","N/A","133458","2019-05-30","33673","2021-06-21","2022-06-20","35197","0","22343373","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","8","N/A","0","2019-05-10","33610","2021-06-21","2022-06-20","34242","0","22321884","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","12","N/A","117823","2017-05-24","31882","2021-06-21","2022-06-20","33105","1","21220282","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","8","N/A","119466","2017-07-06","31963","2021-06-21","2022-06-20","32783","0","21271789","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Compression","Oracle Advanced Compression - Processor Perpetual","16","N/A","104675","2019-05-10","33610","2021-06-21","2022-06-20","32389","0","22321884","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Cloud Management Pack for Oracle Database","Oracle Cloud Management Pack for Oracle Database - Processor Perpetual","52","N/A","108014","2017-05-15","31861","2021-06-21","2022-06-20","30387","2","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","52","N/A","108014","2017-05-15","31861","2021-06-21","2022-06-20","30387","0","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","28","N/A","104433","2015-05-29","29950","2021-06-21","2022-06-20","29225","0","20064748","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","44","N/A","123609","2021-05-26","35727","2021-05-26","2022-05-25","27194","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","40","N/A","94316","2018-01-04","32308","2021-06-21","2022-06-20","26322","0","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Cloud Management Pack for Oracle Database","Oracle Cloud Management Pack for Oracle Database - Processor Perpetual","40","N/A","94316","2018-01-04","32308","2021-06-21","2022-06-20","26322","2","21592112","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","54","N/A","107745","2020-10-21","35096","2021-10-21","2022-10-20","24889","0","23234306","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","8","N/A","93690","2020-05-18","34711","2021-05-18","2022-06-20","23704","1","22998637","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","56","N/A","92837","2020-06-02","34763","2021-06-02","2022-06-20","23488","0","23015529","RESTRICTED USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","8","N/A","81720","2017-05-24","31883","2021-06-21","2022-06-20","22961","1","21220403","LIMITED USE SPECIFIED APP",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","4","N/A","74132","2013-12-23","28478","2021-06-21","2022-06-20","21637","0","19349406","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","52","N/A","72009","2017-05-15","31861","2021-06-21","2022-06-20","20258","0","21205510","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Standard Edition","Oracle Database Standard Edition - Processor Perpetual","8","N/A","100076","2012-12-01","27358","2021-06-21","2022-06-20","19269","0","18845455","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Standard Edition","Oracle Database Standard Edition - Processor Perpetual","8","N/A","69286","2015-01-05","29509","2021-06-21","2022-06-20","18593","0","19791412","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","44","N/A","82406","2021-05-26","35727","2021-05-26","2022-05-25","18129","0","23599650","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Multitenant","Oracle Multitenant - Processor Perpetual","8","N/A","71286","2020-05-18","34711","2021-05-18","2022-06-20","18035","0","22998637","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","40","N/A","62877","2018-01-04","32308","2021-06-21","2022-06-20","17549","0","21592112","FULL USE",""
"IdomSoft Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Named User Plus Perpetual","100","N/A","56027","2015-05-23","29930","2021-06-21","2022-06-20","16423","0","20062590","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","8","N/A","57847","2017-07-06","31963","2021-06-21","2022-06-20","15874","1","21271789","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Unspecified","ACS Support License","ACS - Priority Support for Systems Service: Base","1","N/A","0","2020-10-08","35042","2021-07-01","2022-06-30","15699","0","21207700","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","84","N/A","55158","2008-12-31","21772","2021-06-21","2022-06-20","14944","0","16147747","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","84","N/A","55158","2008-12-31","21772","2021-06-21","2022-06-20","14944","0","16147747","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","16","N/A","51227","2017-05-24","31882","2021-06-21","2022-06-20","14394","0","21220282","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Standard Edition","Oracle Database Standard Edition - Processor Perpetual","6","N/A","44780","2013-03-28","27714","2021-06-21","2022-06-20","13397","0","18983889","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","8","N/A","46845","2020-05-18","34711","2021-05-18","2022-06-20","11852","0","22998637","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","8","N/A","40860","2017-05-24","31883","2021-06-21","2022-06-20","11481","0","21220403","LIMITED USE SPECIFIED APP",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","8","N/A","39274","2017-05-24","31882","2021-06-21","2022-06-20","11035","0","21220282","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","4","N/A","35896","2013-12-23","28478","2021-06-21","2022-06-20","10477","1","19349406","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Advanced Security","Oracle Advanced Security - Processor Perpetual","8","N/A","37726","2017-07-06","31963","2021-06-21","2022-06-20","10353","0","21271789","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","4","N/A","45610","2021-08-05","38377644","2021-08-05","2022-08-04","10034","1","23713358","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","12","N/A","44618","2021-08-05","38377644","2021-08-05","2022-08-04","9816","0","23713358","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Processor Perpetual","4","N/A","31191","2008-12-31","21772","2021-06-21","2022-06-20","9658","0","16147747","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Oracle Database Enterprise Edition","Oracle Database Enterprise Edition - Named User Plus Perpetual","100","N/A","34825","2014-06-05","28995","2021-06-21","2022-06-20","9600","0","19569267","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","16","N/A","34152","2017-05-24","31882","2021-06-21","2022-06-20","9596","0","21220282","FULL USE",""
"IdomSoft Zrt","Database Core","Oracle Database Standard Edition","Oracle Database Standard Edition - Processor Perpetual","3","N/A","30962","2015-05-23","29930","2021-06-21","2022-06-20","9076","0","20062590","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Tuning Pack","Oracle Tuning Pack - Processor Perpetual","16","N/A","39661","2021-08-05","38377644","2021-08-05","2022-08-04","8725","0","23713358","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Storage Server","Exadata Storage Server X6-2 HC plus Infiniband Infrastructure (for factory installation)","1","N/A","37127","2017-05-31","35015813","2021-07-01","2022-06-30","8313","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Storage Server","Exadata Storage Server X6-2 HC plus Infiniband Infrastructure (for factory installation)","1","N/A","37127","2017-05-31","35015842","2021-07-01","2022-06-30","8313","0","21207700","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Storage Server","Exadata Storage Server X6-2 HC plus Infiniband Infrastructure (for factory installation)","1","N/A","37127","2017-05-31","35015842","2021-07-01","2022-06-30","8313","0","21207700","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Storage Server","Exadata Storage Server X6-2 HC plus Infiniband Infrastructure (for factory installation)","1","N/A","37127","2017-05-31","35015813","2021-07-01","2022-06-30","8313","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Real Application Clusters","Oracle Real Application Clusters - Processor Perpetual","4","N/A","0","2019-05-10","33610","2021-06-21","2022-06-20","8290","1","22321884","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Database Lifecycle Management Pack","Oracle Database Lifecycle Management Pack - Processor Perpetual","8","N/A","30181","2017-07-06","31963","2021-06-21","2022-06-20","8282","0","21271789","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Active Data Guard","Oracle Active Data Guard - Processor Perpetual","8","N/A","28923","2017-07-06","31963","2021-06-21","2022-06-20","7937","0","21271789","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Partitioning","Oracle Partitioning - Processor Perpetual","8","N/A","28923","2017-07-06","31963","2021-06-21","2022-06-20","7937","0","21271789","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","8","N/A","30551","2020-05-18","34711","2021-05-18","2022-06-20","7729","0","22998637","LIMITED USE OTHER",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Options License","Diagnostics Pack","Oracle Diagnostics Pack - Processor Perpetual","8","N/A","26648","2017-05-24","31883","2021-06-21","2022-06-20","7487","0","21220403","LIMITED USE SPECIFIED APP",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","Exadata Database Server X6-2 plus Infiniband Infrastructure (for factory installation)","1","N/A","30940","2017-05-31","35015813","2021-07-01","2022-06-30","6927","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","Exadata Database Server X6-2 plus Infiniband Infrastructure (for factory installation)","1","N/A","30940","2017-05-31","35015813","2021-07-01","2022-06-30","6927","0","21207626","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","Exadata Database Server X6-2 plus Infiniband Infrastructure (for factory installation)","1","N/A","30940","2017-05-31","35015842","2021-07-01","2022-06-30","6927","0","21207700","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X6-2 Database Server","Exadata Database Server X6-2 plus Infiniband Infrastructure (for factory installation)","1","N/A","30940","2017-05-31","35015842","2021-07-01","2022-06-30","6927","0","21207700","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X9M-2 Database Server","Exadata Database Server X9M-2 with 1 TB memory and 2 dual 25 G network cards (for factory installation)","1","N/A","44275","2022-01-21","39304097","2022-01-21","2023-01-20","6641","0","24203517","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Database Machine FLEX X9M-2 Database Server","Exadata Database Server X9M-2 with 1 TB memory and 2 dual 25 G network cards (for factory installation)","1","N/A","44275","2022-01-21","39237479","2022-01-21","2023-01-20","6641","0","24212890","",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Database Core","Database Standard Edition 2","Oracle Database Standard Edition 2 - Processor Perpetual","2","N/A","22706","2017-11-30","32259","2021-06-21","2022-06-20","6396","0","21477616","FULL USE",""
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt","Exadata Database Machine","Exadata Memory Expansion X6-2","Memory Expansion Kit - Eight 32 GB DIMMs for X6 racks","8","N/A","33934","2017-06-08","35015842","2021-07-01","2022-06-30","6392","0","21199111","",""
